entry_id,project_id,employee_id,date,hours,billable,activity_type
114,93,116,2021-02-24 01:06:50.893299372,10.6,True,Analysis
102,104,103,2023-07-16 07:05:00.500558215,7.8,True,Research
74,123,77,2023-08-16 07:45:26.589925387,6.7,True,Analysis
96,78,90,2020-05-11 13:45:35.192825505,8.2,True,Documentation
127,106,86,2024-01-25 13:47:45.710942194,10.9,True,Research
133,118,86,2023-02-02 09:17:25.331070105,8.4,True,Training
114,111,103,2020-04-08 02:39:40.732265224,6.8,True,Research
76,108,103,2024-04-06 06:32:28.044483174,11.3,True,Research
109,63,92,2023-03-31 14:15:12.823461700,8.4,True,Research
117,122,90,2023-06-24 04:33:06.112634237,8.2,True,Documentation
114,103,90,2024-11-11 08:25:37.353635503,6.4,True,Training
115,66,124,2021-07-11 07:43:57.229589828,7.5,True,Analysis
107,121,74,2023-12-24 19:38:24.637769097,8.8,True,Analysis
98,116,81,2024-09-20 23:26:02.795461173,8.7,True,Research
87,158,88,2021-03-27 08:06:23.121958437,4.3,True,Research
62,84,97,2023-04-29 23:42:45.037650340,7.0,True,Research
106,114,115,2022-06-15 12:57:23.206066582,7.9,False,Training
103,103,76,2023-06-01 13:52:04.508719822,5.4,True,Documentation
111,97,84,2023-02-07 15:36:00.045388962,5.0,True,Research
73,103,68,2022-05-24 23:45:21.089491536,9.0,True,Meeting
112,108,98,2022-07-24 10:57:52.592764662,7.5,True,Research
141,67,103,2020-10-18 22:20:59.443836649,7.0,True,Analysis
101,101,102,2024-07-28 14:41:51.858254115,7.1,False,Analysis
98,77,102,2021-10-20 10:06:46.957174104,8.4,True,Research
106,116,125,2022-07-12 16:44:02.834801641,8.3,True,Documentation
140,83,96,2022-11-19 02:58:40.665203618,8.8,True,Research
79,109,97,2021-09-26 08:24:24.785655520,8.1,True,Documentation
104,85,120,2020-06-24 15:11:53.585925010,8.6,True,Research
84,95,109,2020-08-15 09:51:14.160859459,9.0,False,Research
89,99,97,2022-02-26 09:48:58.764864573,9.6,False,Research
99,133,99,2023-08-12 06:15:54.844956561,7.9,True,Analysis
126,97,120,2020-10-09 11:00:08.056269267,7.5,True,Meeting
136,111,96,2024-10-21 06:07:40.108268351,9.6,True,Documentation
108,111,74,2023-03-09 07:02:37.412538606,6.2,True,Research
92,88,121,2024-04-22 09:34:31.151433688,6.5,True,Analysis
149,103,59,2023-09-20 16:16:50.560491676,8.5,True,Research
91,96,104,2021-10-06 13:28:47.315778758,8.8,True,Research
88,96,104,2023-04-07 04:37:53.465259413,6.4,False,Documentation
64,101,109,2024-12-19 22:01:58.892298953,8.2,True,Documentation
127,93,91,2020-02-08 18:34:14.524803122,7.3,True,Research
119,116,86,2024-11-26 10:00:50.605006696,7.0,True,Training
148,119,97,2024-09-12 06:31:22.344234471,7.7,True,Analysis
72,93,121,2021-09-08 22:48:51.112822901,8.8,True,Research
129,103,111,2022-06-17 11:19:27.052172160,9.2,True,Analysis
101,91,94,2022-02-06 20:40:06.982137690,9.4,True,Research
116,78,119,2022-03-11 12:04:39.102067339,8.1,True,Analysis
67,82,108,2021-01-06 20:19:04.835291510,6.8,True,Research
129,112,99,2023-07-14 17:57:51.340911723,7.3,True,Analysis
115,81,124,2021-03-14 09:53:07.164429960,7.3,True,Analysis
99,86,102,2020-09-11 22:49:26.956678851,5.7,True,Research
112,94,124,2020-01-04 23:38:21.760964547,5.9,False,Research
84,93,118,2020-03-10 02:15:12.058977948,4.0,True,Research
88,83,99,2023-10-21 18:11:02.133235557,6.8,True,Training
90,78,127,2022-12-02 20:39:34.066683018,6.1,True,Research
62,92,97,2020-03-07 10:30:39.240642682,7.9,False,Research
117,111,77,2024-10-08 07:00:46.021110207,6.9,True,Documentation
123,98,104,2021-09-07 09:22:11.752566634,9.7,True,Analysis
85,81,128,2024-07-16 23:02:34.291491500,8.4,False,Documentation
106,130,111,2022-12-11 11:29:55.280457015,2.8,True,Research
94,130,102,2023-08-31 12:23:06.625531190,6.0,True,Analysis
106,79,88,2024-08-28 11:39:38.261196294,7.0,True,Analysis
87,64,86,2024-07-17 11:22:40.706849738,6.8,True,Analysis
82,104,86,2022-05-27 13:40:10.941713190,6.9,True,Analysis
121,118,75,2020-04-14 06:37:21.918876941,5.1,True,Research
98,57,153,2024-11-23 12:23:13.334442115,8.0,False,Research
140,94,83,2021-11-17 14:40:16.717515937,6.9,True,Documentation
100,69,81,2021-09-23 04:42:08.451229357,6.0,True,Training
81,78,89,2023-05-04 17:36:53.696404384,5.9,True,Research
124,72,111,2023-10-11 16:55:16.554911593,7.2,False,Documentation
112,83,114,2022-12-24 20:51:15.811892817,10.9,True,Documentation
114,86,112,2023-10-27 21:09:13.155907046,6.8,True,Research
123,53,139,2020-04-03 20:04:31.292957883,8.7,False,Analysis
86,115,100,2024-03-25 02:13:59.210756885,9.1,True,Documentation
97,93,124,2022-09-04 01:24:47.308970269,6.6,True,Research
96,76,108,2021-07-28 09:38:16.106913239,7.7,True,Research
74,68,98,2022-12-25 00:41:03.448027476,5.8,False,Meeting
94,110,99,2023-08-31 09:02:38.012515278,4.0,True,Analysis
126,106,114,2023-10-25 15:45:39.799971309,7.6,True,Research
104,102,88,2022-05-21 16:03:54.109291278,7.5,True,Meeting
73,90,103,2020-09-20 17:06:49.534252221,6.4,True,Documentation
68,108,92,2022-05-08 09:08:23.208793724,9.3,True,Research
133,108,84,2022-05-21 20:57:10.779161477,8.1,True,Analysis
98,132,69,2020-01-27 08:13:03.584101343,4.4,True,Training
87,83,121,2022-09-07 14:57:12.479143085,6.6,True,Meeting
94,57,102,2022-12-12 18:23:54.098317534,7.7,True,Analysis
70,99,110,2023-05-29 18:32:19.663960911,8.4,True,Documentation
128,93,70,2020-04-05 15:31:00.745138320,8.1,True,Research
92,129,141,2021-02-04 13:01:48.002156424,7.9,True,Research
127,75,147,2022-12-06 04:53:55.434112597,8.7,True,Research
101,92,90,2023-12-19 08:24:08.347940947,5.2,False,Research
128,113,120,2020-11-06 05:10:43.271994292,7.2,False,Meeting
105,74,87,2021-12-10 14:22:22.277967418,6.2,True,Research
117,102,90,2022-08-22 16:14:08.964118202,9.9,True,Research
114,84,135,2022-08-07 17:18:43.104318722,8.1,True,Analysis
112,108,98,2023-01-31 07:17:47.156752837,8.2,False,Research
106,90,100,2022-05-22 08:07:50.582825374,8.4,True,Research
95,101,88,2022-07-29 16:35:46.145383528,7.2,True,Research
138,83,98,2020-02-20 16:36:11.725783751,6.1,True,Training
81,121,128,2024-02-17 05:00:15.148091200,7.5,False,Meeting
100,93,89,2022-02-07 01:08:52.641119657,8.2,True,Research
100,115,105,2021-07-12 06:16:07.576490243,10.6,True,Research
108,108,91,2024-07-14 17:31:47.877832614,9.5,True,Research
91,67,114,2021-10-24 03:21:15.000280520,6.2,True,Analysis
106,78,105,2023-03-17 13:40:36.300216572,8.4,True,Documentation
96,97,107,2020-04-14 11:42:27.170627705,8.8,True,Research
68,106,145,2022-02-12 03:14:14.861325904,5.7,True,Analysis
100,98,100,2020-07-26 06:24:54.599054528,6.9,True,Research
77,126,139,2024-12-27 07:23:05.551648243,7.1,False,Analysis
65,76,93,2023-11-23 03:33:03.279492317,5.6,True,Research
102,95,105,2024-08-11 00:38:59.078934618,6.9,True,Analysis
109,95,124,2024-10-10 12:34:15.209800375,7.2,False,Research
110,126,117,2021-10-06 15:08:14.705125743,8.7,True,Research
111,90,125,2022-11-21 05:29:21.981724216,7.0,True,Research
61,95,126,2022-02-12 04:18:29.425444096,6.5,True,Research
72,79,136,2024-02-07 14:12:08.700771665,6.8,True,Research
139,99,101,2020-02-21 16:23:10.372741020,9.4,True,Documentation
79,95,132,2020-03-09 23:02:23.959012464,8.6,True,Meeting
112,92,121,2024-11-01 10:40:48.009490674,5.4,True,Documentation
86,116,90,2022-10-11 19:36:07.323640982,7.6,True,Analysis
101,89,88,2021-11-01 11:45:19.027324946,6.4,True,Analysis
87,68,96,2022-06-10 11:09:35.486937475,5.2,True,Documentation
111,101,153,2023-12-26 19:53:12.322801013,7.2,False,Research
102,115,85,2020-12-01 10:05:54.394138130,9.8,True,Research
91,101,113,2022-04-21 02:57:44.221049425,8.2,False,Research
78,90,68,2024-01-21 17:06:51.713609702,6.9,False,Analysis
105,76,103,2022-02-20 11:31:25.191955697,8.9,True,Documentation
75,110,95,2023-12-10 21:48:22.941640419,8.5,True,Analysis
108,151,90,2023-03-30 19:14:13.867406546,6.9,True,Documentation
152,95,70,2021-09-13 10:02:19.269771893,9.3,True,Training
127,114,83,2024-09-15 06:34:50.731608904,5.8,True,Documentation
114,94,70,2022-11-16 22:07:34.924548012,9.5,True,Analysis
98,106,103,2023-02-03 08:05:48.474238255,8.4,True,Documentation
61,80,73,2020-08-20 10:14:35.538652196,7.7,True,Research
73,85,104,2021-12-24 18:36:24.325334993,7.0,False,Analysis
125,134,69,2021-10-09 16:40:01.989301709,4.5,True,Research
84,94,115,2020-07-12 04:32:53.462766384,6.2,True,Research
