task,baseline,CSC,ran,secs,AME,FIVR,CSAT,DET,seed,input_type,reason
saas_mrr_curve,misata,1,True,0.047,0.0,0.0,1.0,1.0,42,nl,
saas_mrr_curve,faker,1,True,0.002,0.8139166688995587,0.0,1.0,1.0,42,schema,
saas_mrr_curve,naive_rescale,1,True,0.019,1.4551915228366853e-16,0.0,1.0,1.0,42,schema,
saas_mrr_curve,sdv_gaussian_copula,0,False,,,,,,42,,SDV requires source data; task is cold-start (CSC=0)
saas_mrr_curve,sdv_ctgan,0,False,,,,,,42,,SDV requires source data; task is cold-start (CSC=0)
saas_mrr_curve,sdv_hma,0,False,,,,,,42,,SDV requires source data; task is cold-start (CSC=0)
saas_mrr_curve,misata,1,True,0.034,0.0,0.0,1.0,,43,nl,
saas_mrr_curve,faker,1,True,0.002,0.8162233526240287,0.0,1.0,,43,schema,
saas_mrr_curve,naive_rescale,1,True,0.018,1.8189894035458566e-16,0.0,1.0,,43,schema,
saas_mrr_curve,sdv_gaussian_copula,0,False,,,,,,43,,SDV requires source data; task is cold-start (CSC=0)
saas_mrr_curve,sdv_ctgan,0,False,,,,,,43,,SDV requires source data; task is cold-start (CSC=0)
saas_mrr_curve,sdv_hma,0,False,,,,,,43,,SDV requires source data; task is cold-start (CSC=0)
saas_mrr_curve,misata,1,True,0.033,0.0,0.0,1.0,,44,nl,
saas_mrr_curve,faker,1,True,0.002,0.8311514081505831,0.0,1.0,,44,schema,
saas_mrr_curve,naive_rescale,1,True,0.042,1.4551915228366853e-16,0.0,1.0,,44,schema,
saas_mrr_curve,sdv_gaussian_copula,0,False,,,,,,44,,SDV requires source data; task is cold-start (CSC=0)
saas_mrr_curve,sdv_ctgan,0,False,,,,,,44,,SDV requires source data; task is cold-start (CSC=0)
saas_mrr_curve,sdv_hma,0,False,,,,,,44,,SDV requires source data; task is cold-start (CSC=0)
saas_mrr_curve,misata,1,True,0.034,0.0,0.0,1.0,,45,nl,
saas_mrr_curve,faker,1,True,0.002,0.8152147781861284,0.0,1.0,,45,schema,
saas_mrr_curve,naive_rescale,1,True,0.019,1.8189894035458566e-16,0.0,1.0,,45,schema,
saas_mrr_curve,sdv_gaussian_copula,0,False,,,,,,45,,SDV requires source data; task is cold-start (CSC=0)
saas_mrr_curve,sdv_ctgan,0,False,,,,,,45,,SDV requires source data; task is cold-start (CSC=0)
saas_mrr_curve,sdv_hma,0,False,,,,,,45,,SDV requires source data; task is cold-start (CSC=0)
saas_mrr_curve,misata,1,True,0.034,0.0,0.0,1.0,,46,nl,
saas_mrr_curve,faker,1,True,0.002,0.8321645229277809,0.0,1.0,,46,schema,
saas_mrr_curve,naive_rescale,1,True,0.019,1.8189894035458566e-16,0.0,1.0,,46,schema,
saas_mrr_curve,sdv_gaussian_copula,0,False,,,,,,46,,SDV requires source data; task is cold-start (CSC=0)
saas_mrr_curve,sdv_ctgan,0,False,,,,,,46,,SDV requires source data; task is cold-start (CSC=0)
saas_mrr_curve,sdv_hma,0,False,,,,,,46,,SDV requires source data; task is cold-start (CSC=0)
saas_mrr_curve,misata,1,True,0.034,0.0,0.0,1.0,,47,nl,
saas_mrr_curve,faker,1,True,0.002,0.8310205903162001,0.0,1.0,,47,schema,
saas_mrr_curve,naive_rescale,1,True,0.02,1.2126596023639044e-16,0.0,1.0,,47,schema,
saas_mrr_curve,sdv_gaussian_copula,0,False,,,,,,47,,SDV requires source data; task is cold-start (CSC=0)
saas_mrr_curve,sdv_ctgan,0,False,,,,,,47,,SDV requires source data; task is cold-start (CSC=0)
saas_mrr_curve,sdv_hma,0,False,,,,,,47,,SDV requires source data; task is cold-start (CSC=0)
saas_mrr_curve,misata,1,True,0.034,0.0,0.0,1.0,,48,nl,
saas_mrr_curve,faker,1,True,0.002,0.834941503855901,0.0,1.0,,48,schema,
saas_mrr_curve,naive_rescale,1,True,0.02,1.2126596023639044e-16,0.0,1.0,,48,schema,
